game_num,A1,A2,A3,A4,A5,A6,A7,B1,B2,B3,B4,B5,B6,C1,C2,C3,C4,C6,C7,C8,D1,D2,D3,D4,A25,A26,A27,A28,A29,A30,A31,A32
1,0.39,1.127,0.739,-0.34,-0.734,-0.65,-0.118,0.475,0.899,0.298,-0.937,1.656,0.211,1.623,1.197,0.515,-0.374,1.166,-0.516,0.005,-1.357,2.928,-1.088,0.859,-0.642,0.919,1.915,2.786,2.679,4.261,3.2,-0.552
2,1.39,1.127,1.739,-0.34,-0.734,-0.65,0.882,1.475,3.899,-0.702,-1.937,0.656,1.211,2.623,2.197,1.515,-0.374,0.166,0.484,0.005,-0.357,4.928,-1.088,0.859,0.358,0.919,1.915,1.786,1.679,3.261,5.2,-0.552
3,-0.61,0.127,-2.261,-0.34,-0.734,-0.65,-1.118,-0.525,-1.101,-0.702,-1.937,-0.344,2.211,-0.377,0.197,-0.485,-1.374,4.166,-0.516,0.005,-1.357,-0.072,-1.088,-0.141,-0.642,-0.081,0.915,1.786,2.679,4.261,1.2,-0.552
4,0.39,1.127,-2.261,1.66,1.266,0.35,2.882,-0.525,-2.101,2.298,-1.937,2.656,1.211,-1.377,-0.803,-0.485,4.626,-0.834,0.484,0.005,0.643,-2.072,-0.088,-0.141,-0.642,-0.081,-0.085,2.786,3.679,6.261,0.2,2.448
5,-0.61,1.127,-0.261,0.66,-0.734,0.35,0.882,0.475,-0.101,0.298,-1.937,0.656,3.211,0.623,0.197,0.515,1.626,2.166,0.484,1.005,1.643,2.928,0.912,0.859,1.358,0.919,1.915,2.786,2.679,3.261,2.2,-0.552
6,0.39,2.127,0.739,-1.34,-0.734,-1.65,-0.118,2.475,-1.101,2.298,-0.937,-0.344,3.211,0.623,1.197,2.515,2.626,3.166,-0.516,0.005,-1.357,-1.072,-0.088,1.859,-0.642,0.919,0.915,2.786,1.679,3.261,1.2,-0.552
7,-0.61,0.127,-0.261,-0.34,-0.734,-0.65,-0.118,0.475,0.899,0.298,-1.937,1.656,0.211,-0.377,-0.803,-0.485,-0.374,0.166,-0.516,0.005,-0.357,0.928,-1.088,-1.141,1.358,0.919,0.915,1.786,2.679,4.261,2.2,-0.552
8,-1.61,2.127,-1.261,-0.34,-2.734,-2.65,0.882,2.475,2.899,1.298,-0.937,1.656,3.211,1.623,1.197,2.515,1.626,3.166,-0.516,1.005,-1.357,-1.072,-1.088,1.859,1.358,0.919,0.915,3.786,0.679,2.261,3.2,-0.552
9,0.39,-0.873,0.739,-0.34,1.266,0.35,-1.118,-1.525,-2.101,-1.702,-1.937,-1.344,-0.789,-1.377,-0.803,-0.485,-1.374,-1.834,0.484,-0.995,-1.357,-2.072,0.912,-2.141,-0.642,1.919,0.915,1.786,3.679,2.261,0.2,2.448
10,0.39,-0.873,-1.261,-0.34,0.266,0.35,-1.118,-1.525,-2.101,0.298,-2.937,-1.344,-0.789,-0.377,4.197,-1.485,-1.374,-0.834,-0.516,0.005,-1.357,-0.072,-1.088,-1.141,0.358,-0.081,0.915,1.786,2.679,3.261,1.2,-0.552
11,-2.61,2.127,-1.261,-0.34,-2.734,-3.65,-0.118,4.475,0.899,2.298,3.063,1.656,2.211,1.623,0.197,2.515,2.626,2.166,-1.516,2.005,-2.357,0.928,-1.088,2.859,0.358,-0.081,1.915,3.786,-0.321,1.261,2.2,3.448
12,-0.61,1.127,-2.261,0.66,-0.734,-0.65,0.882,0.475,-1.101,1.298,-1.937,-1.344,1.211,-0.377,2.197,0.515,1.626,3.166,-0.516,0.005,-0.357,-1.072,-0.088,0.859,-0.642,-0.081,0.915,2.786,2.679,4.261,1.2,-0.552
13,0.39,1.127,0.739,-0.34,-0.734,-0.65,-1.118,0.475,-0.101,-0.702,-1.937,-0.344,0.211,0.623,0.197,0.515,-0.374,0.166,0.484,1.005,-0.357,3.928,-0.088,0.859,0.358,0.919,1.915,1.786,2.679,2.261,2.2,-0.552
14,-0.61,2.127,-1.261,-0.34,-1.734,-1.65,-0.118,1.475,0.899,2.298,-1.937,-0.344,1.211,2.623,0.197,4.515,1.626,0.166,-0.516,1.005,-1.357,-1.072,-1.088,0.859,0.358,0.919,0.915,2.786,-0.321,2.261,5.2,-0.552
15,-0.61,2.127,-0.261,0.66,-1.734,-2.65,0.882,0.475,2.899,0.298,1.063,0.656,1.211,2.623,0.197,1.515,0.626,0.166,-1.516,1.005,-2.357,-1.072,-4.088,1.859,1.358,0.919,0.915,3.786,1.679,3.261,5.2,3.448
16,-1.61,1.127,-2.261,-0.34,-1.734,-1.65,-1.118,1.475,0.899,1.298,-0.937,0.656,0.211,0.623,0.197,1.515,1.626,0.166,-1.516,0.005,-1.357,-1.072,-4.088,1.859,0.358,0.919,0.915,2.786,0.679,2.261,3.2,2.448
17,0.39,0.127,-3.261,0.66,-0.734,1.35,1.882,-0.525,-2.101,0.298,-1.937,0.656,3.211,-1.377,0.197,0.515,3.626,2.166,0.484,1.005,1.643,-2.072,0.912,-0.141,1.358,-0.081,1.915,1.786,3.679,4.261,0.2,-0.552
18,0.39,0.127,1.739,-0.34,0.266,0.35,-1.118,-1.525,1.899,-0.702,0.063,-0.344,-0.789,0.623,0.197,-0.485,-1.374,-0.834,-0.516,0.005,0.643,-1.072,-0.088,-2.141,3.358,3.919,0.915,3.786,2.679,2.261,4.2,6.448
